id	address	name	kind	confidence	source	target
function:40800074:early-rom-startup	40800074	Early ROM startup / supervisor setup	function	medium	agent_note	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4080011C:40800191	4080011C	string_cluster 4080011C	data_region	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4080011D:40800331	4080011D	string_cluster 4080011D	data_region	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:408002D2:40800A33	408002D2	string_cluster 408002D2	data_region	0.7	stackimport	
function:40800314:trap-address-probe	40800314	Trap address probe/setup	function	medium	agent_note	
function:40800320:startup-helper-dispatch	40800320	Startup helper dispatch	function	low	agent_note	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:408004B8:408009BC	408004B8	string_cluster 408004B8	data_region	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40800ACA:408016FE	40800ACA	string_cluster 40800ACA	data_region	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40800BFB:40801A70	40800BFB	string_cluster 40800BFB	data_region	0.7	stackimport	
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40800BFC:DRVR	40800BFC	DRVR marker 40800BFC	resource_marker		rom_structure_analysis	
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4080122A:DRVR	4080122A	DRVR marker 4080122A	resource_marker		rom_structure_analysis	
resource_marker:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40801302:DRVR	40801302	DRVR marker 40801302	resource_marker		rom_structure_analysis	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4080182C:40801896	4080182C	string_cluster 4080182C	data_region	0.7	stackimport	
resource_marker:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4080191E:boot	4080191E	boot marker 4080191E	resource_marker		rom_structure_analysis	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40801D90:408027C6	40801D90	string_cluster 40801D90	data_region	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40801EBE:40802006	40801EBE	string_cluster 40801EBE	data_region	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40802122:40802576	40802122	string_cluster 40802122	data_region	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40802779:40802DFE	40802779	string_cluster 40802779	data_region	0.7	stackimport	
function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:408027B0	408027B0	fn408027B0	function_candidate		rom_structure_analysis	
function_candidate:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:408027B0	408027B0	fn408027B0	function_candidate		rom_structure_analysis	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:408029D9:4080305E	408029D9	string_cluster 408029D9	data_region	0.7	stackimport	
function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40802A10	40802A10	fn40802A10	function_candidate		rom_structure_analysis	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40802F0B:40802F45	40802F0B	string_cluster 40802F0B	data_region	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4080316B:40803240	4080316B	string_cluster 4080316B	data_region	0.7	stackimport	
pointer_table:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40803280	40803280	Pointer table 40803280	pointer_table		rom_structure_analysis	
pointer_table:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40803380	40803380	Pointer table 40803380	pointer_table		rom_structure_analysis	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40803396:408034AA	40803396	string_cluster 40803396	data_region	0.7	stackimport	
pointer_table:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:408033C0	408033C0	Pointer table 408033C0	pointer_table		rom_structure_analysis	
pointer_table:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40803510	40803510	Pointer table 40803510	pointer_table		rom_structure_analysis	
