id	start	end	kind	name	confidence	source	summary
rom_disassembly:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:6973886C	00000000		rom_disassembly	1994-09 - 5BF10FD1 - Quadra 660av & 840av.ROM disassembly		project	
rom_disassembly:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:9C71C823	00000000		rom_disassembly	1995-08 - 4D27039C - Powerbook 190 & 190cs.ROM disassembly		project	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4080011C:40800191	4080011C	40800191	data_region	string_cluster 4080011C	0.7	stackimport	string_cluster
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4080011D:40800331	4080011D	40800331	data_region	string_cluster 4080011D	0.7	stackimport	string_cluster
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:408002D2:40800A33	408002D2	40800A33	data_region	string_cluster 408002D2	0.7	stackimport	string_cluster
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:408004B8:408009BC	408004B8	408009BC	data_region	string_cluster 408004B8	0.7	stackimport	string_cluster
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40800ACA:408016FE	40800ACA	408016FE	data_region	string_cluster 40800ACA	0.7	stackimport	string_cluster
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40800BFB:40801A70	40800BFB	40801A70	data_region	string_cluster 40800BFB	0.7	stackimport	string_cluster
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40800BFC:DRVR	40800BFC		resource_marker	DRVR marker 40800BFC		rom_structure_analysis	C...!I..../.YO/<DRVRHz....J. _g.C...4<.1a...C..r4<.0a....8..$.f.
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4080122A:DRVR	4080122A		resource_marker	DRVR marker 4080122A		rom_structure_analysis	...."J`J I.#Nu"<DRVR1.....Y./.?..."Wf... .NuX.p.Nu/. x.. <....X.
resource_marker:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40801302:DRVR	40801302		resource_marker	DRVR marker 40801302		rom_structure_analysis	...."J`J I.#Nu"<DRVR1.....Y./.?..."Wf... .NuX.p.Nu/. x.. <....X.
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4080182C:40801896	4080182C	40801896	data_region	string_cluster 4080182C	0.7	stackimport	string_cluster
resource_marker:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4080191E:boot	4080191E		resource_marker	boot marker 4080191E		rom_structure_analysis	..g.A...1|.+..!|boot..1j....1D....J@f. (. ....ffNuB,.. <..ff`..j
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40801D90:408027C6	40801D90	408027C6	data_region	string_cluster 40801D90	0.7	stackimport	string_cluster
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40801EBE:40802006	40801EBE	40802006	data_region	string_cluster 40801EBE	0.7	stackimport	string_cluster
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40802122:40802576	40802122	40802576	data_region	string_cluster 40802122	0.7	stackimport	string_cluster
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40802779:40802DFE	40802779	40802DFE	data_region	string_cluster 40802779	0.7	stackimport	string_cluster
function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:408027B0	408027B0		function_candidate	fn408027B0		rom_structure_analysis	
function_candidate:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:408027B0	408027B0		function_candidate	fn408027B0		rom_structure_analysis	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:408029D9:4080305E	408029D9	4080305E	data_region	string_cluster 408029D9	0.7	stackimport	string_cluster
function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40802A10	40802A10		function_candidate	fn40802A10		rom_structure_analysis	
