id	address	kind	resource_type	resource_id	name	media_type	output_file	confidence	source
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40800BFC:DRVR	40800BFC	resource_marker	DRVR		DRVR marker 40800BFC				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4080122A:DRVR	4080122A	resource_marker	DRVR		DRVR marker 4080122A				rom_structure_analysis
resource_marker:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40801302:DRVR	40801302	resource_marker	DRVR		DRVR marker 40801302				rom_structure_analysis
resource_marker:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4080191E:boot	4080191E	resource_marker	boot		boot marker 4080191E				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4080CE64:DRVR	4080CE64	resource_marker	DRVR		DRVR marker 4080CE64				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4080CF78:DRVR	4080CF78	resource_marker	DRVR		DRVR marker 4080CF78				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4080D52A:boot	4080D52A	resource_marker	boot		boot marker 4080D52A				rom_structure_analysis
resource_marker:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40815790:boot	40815790	resource_marker	boot		boot marker 40815790				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40832986:STR	40832986	resource_marker	STR		STR  marker 40832986				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40832DE2:STR	40832DE2	resource_marker	STR		STR  marker 40832DE2				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40837ADA:STR	40837ADA	resource_marker	STR		STR  marker 40837ADA				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40837DC2:STR	40837DC2	resource_marker	STR		STR  marker 40837DC2				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4083A394:PACK	4083A394	resource_marker	PACK		PACK marker 4083A394				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4083A504:CODE	4083A504	resource_marker	CODE		CODE marker 4083A504				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4083BB20:STR	4083BB20	resource_marker	STR		STR  marker 4083BB20				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4083BB88:ALRT	4083BB88	resource_marker	ALRT		ALRT marker 4083BB88				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4083BDDA:MENU	4083BDDA	resource_marker	MENU		MENU marker 4083BDDA				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4084C72A:PACK	4084C72A	resource_marker	PACK		PACK marker 4084C72A				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4084EFAE:DRVR	4084EFAE	resource_marker	DRVR		DRVR marker 4084EFAE				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:408524BA:rsrc	408524BA	resource_marker	rsrc		rsrc marker 408524BA				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:408554E8:MENU	408554E8	resource_marker	MENU		MENU marker 408554E8				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:408555A6:DRVR	408555A6	resource_marker	DRVR		DRVR marker 408555A6				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4085D010:DITL	4085D010	resource_marker	DITL		DITL marker 4085D010				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4085D4C0:DITL	4085D4C0	resource_marker	DITL		DITL marker 4085D4C0				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4085D51E:ALRT	4085D51E	resource_marker	ALRT		ALRT marker 4085D51E				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4085D566:ALRT	4085D566	resource_marker	ALRT		ALRT marker 4085D566				rom_structure_analysis
resource_marker:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4085E8B8:STR	4085E8B8	resource_marker	STR		STR  marker 4085E8B8				rom_structure_analysis
resource_marker:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4085EDA2:STR	4085EDA2	resource_marker	STR		STR  marker 4085EDA2				rom_structure_analysis
resource_marker:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:408644CE:STR	408644CE	resource_marker	STR		STR  marker 408644CE				rom_structure_analysis
resource_marker:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:408647F2:STR	408647F2	resource_marker	STR		STR  marker 408647F2				rom_structure_analysis
resource_marker:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40866FE4:PACK	40866FE4	resource_marker	PACK		PACK marker 40866FE4				rom_structure_analysis
resource_marker:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40867152:CODE	40867152	resource_marker	CODE		CODE marker 40867152				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4086767A:STR#	4086767A	resource_marker	STR#		STR# marker 4086767A				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4086792C:DITL	4086792C	resource_marker	DITL		DITL marker 4086792C				rom_structure_analysis
